job_role,skills
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management, leadership"
data analyst,"python, pandas, sql, data visualization"
kubernetes operations engineer,"kubernetes, helm, aws, docker, ci, cd"
web developer,"html, css, javascript, angular"
aiml,"python, tensorflow, deep learning, nlp"
mobile developer,"java, kotlin, android development, rest apis"
full stack python developer,"python, flask, postgresql, javascript"
full stack java developer,"java, spring boot, react, aws"
designer,"adobe xd, figma, ui, ux design, prototyping"
data analyst,"sql, r, tableau, statistics"
game developer,"c, unity, game physics, vr development"
devops engineer,"aws, jenkins, docker, ansible"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, machine learning"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, typescript"
backend developer,"java, hibernate, sql, microservices"
marketing,"digital marketing, seo, content creation, analytics"
hr,"hr management, recruitment, communication"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"network security, penetration testing, siem"
software project manager,"agile, jira, stakeholder management, scrum"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, terraform"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, game design, d modeling"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css, redux"
backend developer,"java, spring, sql, rest apis"
marketing,"marketing strategy, seo, social media, ppc"
hr,"hr policies, recruitment, employee relations"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, firewalls"
software project manager,"agile, scrum, project management, leadership"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, postgresql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"network security, penetration testing, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
data scientist,"python, r, sql, machine learning"
designer,"figma, sketch, ui, ux, wireframing"
kubernetes operations engineer,"kubernetes, docker, gcp, ci, cd"
web developer,"javascript, nodejs, express, mongodb"
full stack python developer,"python, django, postgresql, javascript"
full stack java developer,"java, spring boot, angular, aws"
game developer,"c, unreal engine, vr development"
devops engineer,"aws, terraform, jenkins, linux"
php developer,"php, symfony, mysql, javascript"
blockchain developer,"solidity, web, ethereum, javascript"
frontend developer,"react, typescript, html, css"
backend developer,"java, spring, sql, microservices"
marketing,"marketing campaigns, social media, analytics"
hr,"hr policies, recruitment, training"
c# developer,"c, aspnet, sql server, azure"
mobile developer,"swift, ios development, ui, ux, core data"
cybersecurity engineer,"penetration testing, firewalls, siem"
software project manager,"scrum, agile, project management"
data analyst,"python, pandas, sql, tableau"
kubernetes operations engineer,"kubernetes, helm, aws, docker"
web developer,"html, css, javascript, vuejs"
aiml,"python, tensorflow, nlp, deep learning"
mobile developer,"java, kotlin, android sdk, rest apis"
full stack python developer,"python, flask, javascript, sql"
full stack java developer,"java, spring, react, aws"
designer,"adobe xd, figma, ui, ux, prototyping"
data analyst,"sql, r, data visualization, statistics"
game developer,"c, unity, game design, vr"
devops engineer,"aws, jenkins, docker, terraform"
php developer,"php, laravel, mysql, javascript"
data scientist,"python, tensorflow, keras, nlp"
blockchain developer,"solidity, ethereum, web, blockchain"
frontend developer,"react, javascript, html, css, redux"
backend developer,"java, hibernate, sql, rest apis"
marketing,"digital marketing, seo, ppc, analytics"
hr,"hr management, recruitment, employee relations"
c# developer,"c, net core, azure, sql server"
mobile developer,"swift, ios, xcode, ui, ux"
cybersecurity engineer,"network security, ethical hacking, siem"
software project manager,"agile, jira, stakeholder management"
